index,创作者ID,创作者名称_x,是否官方_x,5月被开练课程数量,开练UV,开练PV,首次开练UV,首次开练PV,5月被完练课程数量,完练UV,完练PV,首次完练UV,首次完练PV,首次完练&复练UV,创作者次月完练-完练留存UV,详情页UV,详情页PV,创作者月完练-完练留存UV,创作者月完练-7日内App留存UV,次月复练率-UV,完练率-UV,当月复练率,完练-7日内App留存率,创作者名称_y,是否官方_y,classif
205,5989e4bb094afb09d8c65bf4,丫丫_Lily1,[false],20.0,10313.0,24683.0,7234.0,8857.0,20.0,8019.0,19615.0,5158.0,5549.0,1547.0,2385.0,36150.0,123968.0,3085.0,7256.0,0.3,0.78,0.38,0.9,丫丫_Lily1,[false],1
206,5f278085d523e965da498c5f,Rosie的瑜伽乐园,[false],28.0,10113.0,20572.0,8621.0,10325.0,28.0,6746.0,14659.0,5578.0,6209.0,1359.0,982.0,32444.0,90404.0,1837.0,5862.0,0.15,0.67,0.27,0.87,Rosie的瑜伽乐园,[false],2
207,5c8a7706e6668674992a9a5f,Koach-Nicole,[false],202.0,10092.0,27316.0,189.0,218.0,10.0,262.0,637.0,162.0,174.0,26.0,23.0,43148.0,122234.0,78.0,230.0,0.09,0.03,0.3,0.88,Koach-Nicole,[false],2
208,623a9d68e261b900018e553c,敏捷的那是完全的覺悟丶,[false],28.0,9926.0,13549.0,9583.0,10807.0,26.0,8658.0,11277.0,8394.0,9101.0,802.0,479.0,29090.0,55647.0,859.0,5902.0,0.06,0.87,0.1,0.68,敏捷的那是完全的覺悟丶,[false],2
209,59119d064933037bb19dccbe,Nikki倪,[false],29.0,9751.0,20222.0,6594.0,7699.0,29.0,6176.0,14037.0,3555.0,3780.0,625.0,1459.0,31587.0,82571.0,1796.0,5479.0,0.24,0.63,0.29,0.89,Nikki倪,[false],1
210,56153224838a80b116104368,TyphoonChan,[false],4.0,9707.0,21483.0,7378.0,8360.0,4.0,6234.0,15638.0,4121.0,4127.0,1292.0,1338.0,25145.0,81123.0,2399.0,5104.0,0.21,0.64,0.38,0.82,TyphoonChan,[false],1
211,623a9d7139df450001204e8b,简单的學會、放手,[false],33.0,9669.0,17375.0,9126.0,10087.0,33.0,7572.0,13521.0,7097.0,7293.0,1834.0,687.0,40132.0,81771.0,2076.0,6199.0,0.09,0.78,0.27,0.82,简单的學會、放手,[false],2
212,58fb662d31f1162861e63d9c,源气Yoga,[false],270.0,9667.0,25179.0,5325.0,6241.0,30.0,7440.0,20489.0,3585.0,3904.0,770.0,1969.0,24804.0,75434.0,2656.0,6199.0,0.26,0.77,0.36,0.83,源气Yoga,[false],1
213,55bbc736b641e96a0183327d,V-郭小浪,[false],11.0,9516.0,24884.0,6291.0,7018.0,11.0,6336.0,19269.0,3486.0,3520.0,976.0,1538.0,33140.0,85090.0,2624.0,5309.0,0.24,0.67,0.41,0.84,V-郭小浪,[false],1
214,5ff6b65290e13b48b47bc1c7,ChloeTing_,[false],12.0,9437.0,28922.0,7183.0,9641.0,12.0,7536.0,23894.0,5463.0,6548.0,2353.0,1979.0,25858.0,109147.0,3251.0,6864.0,0.26,0.8,0.43,0.91,ChloeTing_,[false],1
215,623a9d728b99580001405709,勤奋的-醒醒吧别傻了,[false],36.0,9194.0,12699.0,8821.0,9676.0,33.0,6696.0,8842.0,6402.0,6445.0,836.0,252.0,40990.0,73790.0,945.0,4880.0,0.04,0.73,0.14,0.73,勤奋的-醒醒吧别傻了,[false],2
216,5a8c29a27511ce21f8606ac3,暴躁熊教练,[false],5.0,9002.0,18338.0,8639.0,10215.0,5.0,4983.0,11906.0,4650.0,4684.0,1604.0,957.0,25163.0,72535.0,1823.0,4176.0,0.19,0.55,0.37,0.84,暴躁熊教练,[false],1
217,60dbd64cedd76c63f7a91ea6,不正经运动研究所,[true],4.0,8997.0,31064.0,6943.0,10292.0,4.0,6648.0,23153.0,4761.0,6735.0,2252.0,1420.0,20765.0,76301.0,2432.0,5351.0,0.21,0.74,0.37,0.8,不正经运动研究所,[true],1
